id,user,uid,version,changeset,timestamp
4277440,Dutch Mapper,3781654,18,42679914,2016-10-06T10:16:56Z
4361822,Pptje,1955994,10,33203168,2015-08-08T15:27:21Z
4361939,paulbe,48448,6,42883434,2016-10-13T22:28:18Z
4362105,grossing,175600,11,4129255,2010-03-14T22:01:49Z
4362343,grossing,175600,4,4129255,2010-03-14T22:00:32Z
4363581,Meeuw,37627,2,2234585,2009-08-23T19:55:14Z
4364568,Brunovanm,2134844,17,40205949,2016-06-22T13:45:09Z
4364976,Dutch Mapper,3781654,14,42679914,2016-10-06T10:23:20Z
4366723,wvdp,436419,19,41991638,2016-09-07T23:40:34Z
4376560,paulbe,48448,14,43496586,2016-11-08T19:32:31Z
4480498,sebastic,665748,11,21975408,2014-04-27T11:45:16Z
4480499,phicoh,58533,10,15830269,2013-04-22T21:22:44Z
4483721,grossing,175600,3,4129255,2010-03-14T21:59:55Z
4496429,paulbe,48448,15,22744984,2014-06-04T22:56:31Z
4498372,phicoh,58533,7,15779040,2013-04-18T21:40:22Z
4551294,Django de Hond,1429526,7,16102737,2013-05-12T20:49:08Z
4745774,Dutch Mapper,3781654,6,42679914,2016-10-06T10:16:08Z
6302951,rolandmwagner,39288,15,39970907,2016-06-12T13:27:10Z
6303578,JJJWegdam,1758654,7,28691048,2015-02-07T21:10:44Z
7045994,Maarten Deen,9176,13,28843824,2015-02-14T15:26:34Z
7046019,Dutch Mapper,3781654,11,42679914,2016-10-06T10:25:28Z
7046023,The Maarssen Mapper,30525,17,39859804,2016-06-07T12:36:41Z
7046133,Martien Sch,319572,6,39162127,2016-05-07T11:50:15Z
7046137,Martien Sch,319572,11,39162127,2016-05-07T11:50:14Z
7046224,Martien Sch,319572,19,39162127,2016-05-07T11:50:18Z
7046251,Martien Sch,319572,11,39026044,2016-05-01T21:19:45Z
7046585,paulbe,48448,13,43951627,2016-11-25T21:24:45Z
7047703,Nico Witteman,476664,19,42367746,2016-09-23T08:39:35Z
7370173,W-S,466770,12,8709831,2011-07-13T07:48:32Z
7370174,paulbe,48448,7,35439456,2015-11-19T16:22:30Z
7370176,Sander H,327477,7,26981130,2014-11-23T19:42:16Z
7370178,Amaroussi,1016290,6,29576281,2015-03-18T18:45:39Z
7370181,paulbe,48448,7,43993443,2016-11-27T22:41:32Z
7370184,mvexel,8909,6,6871984,2011-01-05T14:00:13Z
7370192,Martien Sch,319572,8,39189219,2016-05-08T20:38:18Z
7370199,It's so funny_mechanical,2394881,5,27438545,2014-12-13T09:36:30Z
7370204,wouterMe,2747829,3,29381828,2015-03-10T11:03:24Z
7370207,GercoKees,12527,2,612174,2008-09-12T09:11:17Z
7370208,GercoKees,12527,2,612174,2008-09-12T09:11:22Z
7370209,It's so funny,191979,4,10001925,2011-11-30T18:53:48Z
7370211,GercoKees,12527,2,612174,2008-09-12T09:11:20Z
7370212,Martien Sch,319572,5,39123257,2016-05-05T15:42:54Z
7370227,Martien Sch,319572,7,39026044,2016-05-01T21:19:45Z
7370228,Martien Sch,319572,5,39296900,2016-05-13T17:12:23Z
7370247,Jan Westerhof,14498,8,12222326,2012-07-14T22:05:49Z
7370257,GercoKees,12527,3,612174,2008-09-12T09:11:42Z
7370258,GercoKees,12527,2,612174,2008-09-12T09:11:42Z
7370259,Martien Sch,319572,5,39123257,2016-05-05T15:42:55Z
7370260,AnkEric,242798,11,28058221,2015-01-11T10:06:26Z
7370262,Amaroussi,1016290,3,40532604,2016-07-07T01:38:33Z
7370263,It's so funny,191979,7,10001506,2011-11-30T18:02:47Z
7370272,paulbe,48448,17,43950488,2016-11-25T18:33:08Z
7370279,It's so funny_mechanical,2394881,4,27438545,2014-12-13T09:52:07Z
7370288,Maarten Deen,9176,4,28259842,2015-01-19T18:31:59Z
7370294,mvexel,8909,4,7983149,2011-04-27T09:27:42Z
7370295,Maarten Deen,9176,5,28259842,2015-01-19T18:31:58Z
7370296,paulbe,48448,6,43951627,2016-11-25T20:48:39Z
7370303,Amaroussi,1016290,8,29576281,2015-03-18T18:45:42Z
7370305,Dutch Mapper,3781654,4,42679528,2016-10-06T09:54:19Z
7370307,Maarten Deen,9176,8,28259842,2015-01-19T18:31:58Z
7370309,Jan Westerhof,14498,7,41259073,2016-08-05T12:46:55Z
