id,key,value,type
4277440,bicycle,yes,regular
4277440,foot,yes,regular
4277440,highway,pedestrian,regular
4277440,lit,yes,regular
4277440,mofa,no,regular
4277440,moped,no,regular
4277440,name,Vondelpark,regular
4277440,smoothness,intermediate,regular
4277440,solitary,yes,regular
4277440,surface,asphalt,regular
4277440,colour,grey,surface
4277440,width,4.00,regular
4361822,name,Trapjesbrug,regular
4361822,highway,footway,regular
4361939,foot,yes,regular
4361939,highway,footway,regular
4361939,name,Dr. D.M. Sluyspad,regular
4362105,name,Lepelkruisstraat,regular
4362105,highway,living_street,regular
4362343,name,Leeuwenhoekstraat,regular
4362343,highway,footway,regular
4363581,highway,steps,regular
4364568,foot,yes,regular
4364568,name,Bruno van Moerkerkenpassage,regular
4364568,bicycle,designated,regular
4364568,highway,cycleway,regular
4364568,surface,paved,regular
4364568,description,Fietspassage ,regular
4364976,highway,cycleway,regular
4364976,lit,yes,regular
4364976,indirect,yes,lit
4364976,oneway,no,regular
4364976,smoothness,good,regular
4364976,surface,asphalt,regular
4364976,colour,red,surface
4364976,width,4.00,regular
4366723,layer,-1,regular
4366723,name,Artis,regular
4366723,wheelchair,yes,toilets
4366723,tourism,zoo,regular
4366723,wheelchair,yes,regular
4366723,wikidata,Q713124,regular
4366723,wikipedia,nl:Artis,regular
4376560,leisure,park,regular
4376560,name,Wertheimpark,regular
4376560,toponym,park,regular
4376560,wikipedia,nl:Wertheimpark,regular
4480498,foot,yes,regular
4480498,mofa,no,regular
4480498,name,Vondelpark,regular
4480498,moped,no,regular
4480498,bicycle,yes,regular
4480498,highway,pedestrian,regular
4480498,surface,asphalt,regular
4480499,lit,yes,regular
4480499,foot,yes,regular
4480499,highway,footway,regular
4480499,surface,compacted,regular
4483721,leisure,common,regular
4496429,foot,yes,regular
4496429,mofa,no,regular
4496429,moped,no,regular
4496429,bicycle,yes,regular
4496429,highway,pedestrian,regular
4496429,surface,asphalt,regular
4498372,highway,footway,regular
4498372,surface,paving_stones,regular
4551294,leisure,common,regular
4745774,foot,yes,regular
4745774,highway,cycleway,regular
4745774,lit,yes,regular
4745774,name,Raamsteeg,regular
4745774,oneway,no,regular
